page_id,fb_id
26125,131046606933365
7925,93703964327
7993,174792409232539
7951,261065814825
7146,294154950525
7972,203649210462
8014,100729429968791
8056,163449583405
8077,56119694719
8098,236010885421
8140,121633525215
8119,178794698318
8161,1556550444557383
8182,277620511914
8203,269177883260
8224,185260503770
8245,254602458865
7884,61574339729
8266,281438854411
8287,261751653322
8308,228871387853
10201,186074134754341
10195,127866247228581
9860,228750715676
7548,65913977904
9739,216832851329
10193,57006494021
7756,8217139854
9615,8217139854
9621,17635944547
8489,26565330724
8395,44325044673
8351,190195288902
7788,237472023629
7662,349748985121
7623,140860395981560
8329,101178256614741
8443,230630917009019
4907,127866247228581
19558,127866247228581
6987,163453269903
7710,321835741197468
8035,369378059776801
24390,207636390083
26095,1485636768341609
